Marca.temporal;genero;genero_diverso;edad;discapacidad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;funcion_rh;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;mate;idioma_exigencia;idioma_porcentaje;contactos_linkedin;satisfaccion;busqueda;beneficios_expectativa;rh_una_palabra;pregunta_bizarra;teletrabajo;elementos;valoracion_gestion_empresa
2020-09-30T20:14:49Z;Masculino;No;49;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;"Servicios financieros; seguros";110;Nacional;2;Gerente;Full time;Generalista;1;5;5;20;250000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Home office;No recibo bono;2 ajustes;23;Agosto;No;Bejerman;Gestión de Personas;Si, está permitido;No;0;7500;5;No,  pero escucho ofertas;-;Gestión;-;Si;Computadora / Laptop, Abono de celular;4
2020-09-30T20:29:06Z;Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Comercio;1433;Nacional;10;Analista;Full time;Administración de personal;0;0;0;7;55700;Tarjeta de descuento;Menos de un sueldo;1 solo;20;Marzo;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;0;500;3;No,  pero escucho ofertas;Vacaciones extendidas, almuerzo,medicina prepaga;Servicio;Si pensaba tener hijos en los próximos meses;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3
2020-09-30T21:45:26Z;Masculino;Si;33;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;6000;Multinacional;55;HRBP;Full time;Relaciones laborales;8;9;3;8;55000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Reintegros en capacitación, Home office, Tarjeta recargable de beneficios;No recibo bono;2 ajustes;50;Septiembre;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0;100;5;No,  pero escucho ofertas;Bono semestral;Indispensable;No recuerdo ninguna;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5
2020-09-30T22:17:47Z;Femenino;No;24;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;270;Nacional;7;Analista;Full time;Reclutamiento y selección;0;1;1;2;47000;Medicina prepaga / Plan de salud, Seguro de vida (adicionales a los de ley), Idiomas;No recibo bono;1 solo;25;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.2;3000;3;No,  pero escucho ofertas;mas home, bonificaciones, comedor;Empatia;cual es tu signo?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3
2020-09-30T22:45:19Z;Femenino;Si;32;No tengo ninguna discapacidad;Secundario completo;Contador Público/Lic. En Letras;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;700;Nacional;4;Gerente;Full time;Generalista;3;10;3;10;86747;Horarios flexibles, Frutas y snacks, Abono de celular, Reintegros en capacitación, Home office, Comedor / Almuerzos, Estadías en hoteles de la Cadena para vacacionar;No recibo bono;1 solo;50;Enero;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1474;5;No estoy buscando cambiar;Idiomas;Valor;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3
2020-10-01T07:38:25Z;Masculino;No;32;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;"Alimentación; bebidas; tabaco";7500;Multinacional;25;HRBP;Full time;Generalista;0;2;2;14;85500;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Gimnasio, Home office;Un sueldo;1 solo;10;Septiembre;No;Oracle HCM;Recursos Humanos;Si, está permitido;No;0.2;9240;2;Sí, activamente;Comedor, descuento en gimnasios, abono celular, home office;Equipo;Yo soy bombero voluntario y, suele ser un tema de curiosidad por parte de entrevistadores pero me preguntaron que se siente ver morir a alguien. Un toque fuerte.;Si;Computadora / Laptop;2
2020-10-01T08:51:10Z;Femenino;No;26;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;100;Nacional;3;Analista;Full time;Generalista;0;3;3;5;73600;Medicina prepaga / Plan de salud, Licencias extendidas, Home office;No recibo bono;2 ajustes;15;Octubre;No;No tenemos sistema de gestión;Gestion del Talento;Si, está permitido;No;0;1000;3;Sí, activamente;Bonos, gimnasio, desayunos, días libres;Empatía;Si pudieses ser un animal, cual sería?;Si;Computadora / Laptop, Silla ergonómica;4
2020-10-01T09:17:44Z;Femenino;Si;25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";22000;Nacional;2;Administrativo;Part time;Administración de personal;0;2;2;2;22000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.2;200;3;Sí, activamente;Home office;Equilibrio;No recuerdo;No;No estoy trabajando en home office;1
2020-10-01T09:40:58Z;Masculino;No;29;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;"Medios de comunicación; cultura; gráficos";700;Multinacional;9;HRBP;Full time;Payroll / Liquidación de sueldos;2;5;3;5;80000;Horarios flexibles, Licencias extendidas, Préstamos, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;No recibo bono;2 ajustes;17;Agosto;Si, en emprendimiento no relacionado con RRHH;RH Pro;Recursos Humanos;Si, está permitido;No;0.1;9800;4;No,  pero escucho ofertas;Licencia sin goce;Indispensable;¿Qué día se comen pastas?;Si;Computadora / Laptop, Silla ergonómica;4
2020-10-01T09:58:51Z;Femenino;No;30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;92;Nacional;2;Responsable;Full time;Generalista;1;7;4;4;98948;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Home office;Menos de un sueldo;1 solo;25;Agosto;No;No tenemos sistema de gestión;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-10-01T10:01:59Z;Femenino;No;34;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Minería (carbón, otra minería);500;Multinacional;10;HRBP;Full time;Capacitación y desarrollo;0;2;2;12;85000;Medicina prepaga / Plan de salud, Gimnasio, Reintegros en capacitación, Comedor / Almuerzos;Un sueldo;1 solo;30;Mayo;No;Nucleus;Desarrollo de Personas;Si, está permitido;No;0;120;2;Sí, activamente;"Horario flexible; prepara; bono; gimnasio y medicamentos;";Valores;No tengo una;NA;NA;NA
2020-10-01T10:06:10Z;Masculino;No;41;No tengo ninguna discapacidad;Terciario completo;Analista de Sistemas;No estudié en la Universidad;Argentina;Tucumán;Relación de Dependencia;"Textiles; vestido; cuero; calzado";197;Nacional;1;Analista;Full time;Administración de personal;0;0;0;10;60241;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;Enero;No;RH Pro;Oficina de Personal;Si, está permitido;No;0;300;5;No estoy buscando cambiar;Obra Social. Home Office. Un día libre en el mes;Desafío;NA;NA;NA;NA
2020-10-01T10:29:02Z;Masculino;No;37;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;"Servicios financieros; seguros";150;Multinacional;3;Responsable;Full time;Compensaciones y beneficios;0;1;1;13;142000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Home office;Un sueldo;2 ajustes;46;Julio;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;0.7;1100;2;No,  pero escucho ofertas;Descuentos en movilidad alternativa (bicis, monopatín,etc);Operativo;Cómo te ves de acá a 5 años?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Silla ergonómica, Kit sanitizante;4
2020-10-01T10:32:58Z;Masculino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;"Textiles; vestido; cuero; calzado";450;Nacional;7;HRBP;Full time;Generalista;0;4;0;9;65662;Medicina prepaga / Plan de salud, Tarjeta de descuento, Licencias extendidas;No recibo bono;1 solo;30;Septiembre;No;Buenos Aires software;Capital Humano;No, está prohibido;No;0.1;500;3;No,  pero escucho ofertas;Internet pago;Desarrollo;Mentiras por la empresa?;Voy rotando entre la oficina y el trabajo;Kit sanitizante;4
2020-10-01T10:36:49Z;Masculino;No;29;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;520;Nacional;7;Director;Full time;Generalista;7;4;3;6;60000;Vacaciones extendidas, Abono de celular;No recibo bono;No tuve ajustes;0;Enero;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;2500;2;Sí, activamente;Obra Social, Gimnacio, Vacaciones, Home Working, jornadas reducidas;Pasión;Cómo te ves de acá a 15 años;Si;Computadora / Laptop;3
2020-10-01T10:36:56Z;Femenino;No;30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;508;Nacional;6;Director;Full time;Administración de personal;4;3;2;3;15000;Horarios flexibles;No recibo bono;No tuve ajustes;6;Julio;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0.1;NA;4;No,  pero escucho ofertas;NA;NA;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3
2020-10-01T10:40:23Z;Masculino;No;31;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;1600;Multinacional;25;Analista;Full time;Reclutamiento y selección;0;0;2;5;70000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;3 o más ajustes;26;Septiembre;No;No tenemos sistema de gestión;Employee Experience;Si, está permitido;Si;0.4;7000;5;No estoy buscando cambiar;Sueldo dolarizado.;Estratégico.;NA;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5
2020-10-01T10:42:19Z;Femenino;No;28;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;1400;Nacional;20;Director;Full time;Administración de personal;20;1;1;3;128000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;Enero;No;RH Pro;Recursos Humanos;Si, está permitido;No;NA;500;3;No,  pero escucho ofertas;Horarios flexibles;Personas;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2
2020-10-01T10:44:38Z;Femenino;No;39;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;10;Nacional;5;Gerente;Full time;Diseño organizacional;9;15;5;10;150000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Préstamos, Reintegros en capacitación, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;Tres sueldos o más;2 ajustes;60;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;0.5;30000;5;No estoy buscando cambiar;NA;NA;NA;Si;Computadora / Laptop, Silla ergonómica;5
2020-10-01T10:44:56Z;Femenino;No;26;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;360;Nacional;10;Analista;Full time;Reclutamiento y selección;0;1;1;3;65000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Idiomas, Home office, Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;No tuve ajustes;0;Enero;No;RAET;Recursos Humanos;Si, está permitido;No;0;10000;4;Sí, activamente;Flexibilidad horaria, muchos días de home office, vacaciones extendidas, ingles;Estar;Acá trabajan en serio hasta las 18 hs como parece? nadie viene los fines de semana?;Si;Computadora / Laptop, Silla ergonómica;5
2020-10-01T10:54:09Z;Femenino;No;34;No tengo ninguna discapacidad;Secundario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;300;Multinacional;17;Director;Full time;Reclutamiento y selección;7;1.5;1.5;14;288000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Idiomas, Home office, Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;No tuve ajustes;0;Diciembre;Si, en proyectos ad honorem;Bamboo HR;People Operations;Si, está permitido;Si;0.8;15000;4;No,  pero escucho ofertas;Capacitaciones internas y externas;resiliencia;NA;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, monitor y peripherals;4
2020-10-01T10:55:02Z;Masculino;No;27;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;100;Nacional;4;Responsable;Full time;Administración de personal;50;3;3;3;35000;Abono de celular, Seguro de vida (adicionales a los de ley);No recibo bono;2 ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;0;300;4;No,  pero escucho ofertas;Carrera profesional;Talentos;Si tenía hijos.;Si;No me enviaron ni reintegraron nada;3
2020-10-01T10:56:13Z;Femenino;Si;36;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;170;Multinacional;3;Analista;Plazo Fijo;Administración de personal;0;10;10;12;100000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Idiomas;Menos de un sueldo;2 ajustes;35;Julio;No;RH Pro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-10-01T10:56:39Z;Femenino;No;24;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;180;Nacional;5;Analista;Full time;Capacitación y desarrollo;0;2;0;2;52000;Medicina prepaga / Plan de salud, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;30;Abril;No;Bejerman;Recursos Humanos;Si, está permitido;No;0.1;5100;4;No estoy buscando cambiar;NA;NA;NA;Si;Computadora / Laptop;3
2020-10-01T11:00:12Z;Femenino;No;29;No tengo ninguna discapacidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;52;Nacional;1;Responsable;Full time;Todo;0;1;1;3;98000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office;Tres sueldos o más;2 ajustes;23;Septiembre;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;0.1;3700;4;No,  pero escucho ofertas;NA;Responsabilidad;NA;NA;NA;NA
2020-10-01T11:04:23Z;Femenino;No;37;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Hotelería, restauración, turismo;450;Nacional;5;Jefe;Full time;Generalista;4;3;3;12;73000;Medicina prepaga / Plan de salud, Abono de celular, Reintegros en capacitación;No recibo bono;No tuve ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Microsoft Dynamics;Recursos Humanos;Si, está permitido;No;0.3;500;4;No,  pero escucho ofertas;Flexibilidad horaria y bono .;desarrollo;NA;Si;Computadora / Laptop, Abono de celular;3
2020-10-01T11:07:34Z;Masculino;No;33;No tengo ninguna discapacidad;Maestría completa;Contador Público;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Minería (carbón, otra minería);15;Nacional;1;Jefe;Full time;Generalista;0;7;5;7;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Posgrados, Home office;Dos sueldos;2 ajustes;56;Octubre;Si, en emprendimiento relacionado con RRHH;Tango;Relaciones Laborales;Si, está permitido;No;0.1;2400;4;No,  pero escucho ofertas;Ademas de los que ya tengo, Gimnasio, Almuerzo, Vacaciones extendidas;Solucionador;Me han hecho, sabes hacer asados?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;3
2020-10-01T11:10:14Z;Masculino;No;39;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;San Juan;Relación de Dependencia;"Agricultura; plantaciones,otros sectores rurales";320;Nacional;5;Gerente;Full time;Generalista;10;8;2;10;230000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Combustible;Dos sueldos;1 solo;10;Agosto;No;sistema propio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
