genero;pais;origen_capital;puesto;funcion;anios_empresa;sueldo_bruto;sueldo_dolar;satisfaccion;busqueda;anio
Masculino;Argentina;Nacional;Gerente;Generalista;20;250000;2980.0929789009415;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;7;55700;663.9647156991298;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;HRBP;Relaciones laborales;8;55000;655.6204553582072;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;2;47000;560.2574800333771;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Gerente;Generalista;10;86747;1034.05650256288;5;No estoy buscando cambiar;2020
Masculino;Argentina;Multinacional;HRBP;Generalista;14;85500;1019.191798784122;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;5;73600;877.3393729884373;3;Sí, activamente;2020
Masculino;Argentina;Multinacional;HRBP;Payroll / Liquidación de sueldos;5;80000;953.6297532483013;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;4;98948;1179.4969603051616;NA;NA;2020
Femenino;Argentina;Multinacional;HRBP;Capacitación y desarrollo;12;85000;1013.2316128263202;2;Sí, activamente;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;10;60241;718.0951245678865;5;No estoy buscando cambiar;2020
Masculino;Argentina;Multinacional;Responsable;Compensaciones y beneficios;13;142000;1692.692812015735;2;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;HRBP;Generalista;9;65662;782.7154607223746;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Analista;Reclutamiento y selección;5;70000;834.4260340922636;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Gerente;Diseño organizacional;10;150000;1788.055787340565;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;3;65000;774.8241745142449;4;Sí, activamente;2020
Masculino;Argentina;Nacional;Responsable;Administración de personal;3;35000;417.2130170461318;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Analista;Administración de personal;12;100000;1192.0371915603766;NA;NA;2020
Femenino;Argentina;Nacional;Analista;Capacitación y desarrollo;2;52000;619.8593396113959;4;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Todo;3;98000;1168.1964477291692;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Generalista;12;73000;870.187149839075;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;7;190000;2264.8706639647157;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Gerente;Generalista;10;230000;2741.6855405888664;NA;NA;2020
Femenino;Argentina;Nacional;Jefe;Gestión de expatriados;8;70800;843.9623316247466;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;8;41000;488.7352485397544;2;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;14;30000;357.611157468113;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;2;55000;655.6204553582072;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;20;40000;476.81487662415066;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Gerente;Generalista;13;245000;2920.4911193229227;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Jefe;Generalista;14;100000;1192.0371915603766;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Jefe;Generalista;12;68000;810.5852902610561;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;9;40000;476.81487662415066;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;4;30900;368.3394921921564;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Generalista;12;105000;1251.6390511383954;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Gerente;Generalista;3;110000;1311.2409107164144;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;5;54000;643.7000834426034;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Responsable;Generalista;8;62000;739.0630587674335;2;Sí, activamente;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;9;110000;1311.2409107164144;4;Sí, activamente;2020
Femenino;Argentina;Multinacional;HRBP;Al ser HRBP un poco de todo payroll, capacitacion, comunicacion interna,;5;60565;721.9573250685421;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;8;50000;596.0185957801883;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;Relaciones laborales;14;140000;1668.8520681845273;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Generalista;15;49000;584.0982238645846;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Responsable;Generalista;8;45000;536.4167362021695;NA;NA;2020
Femenino;Argentina;Nacional;Jefe;Generalista;9;106024;1263.8455119799737;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;10;71500;852.3065919656693;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;2;48200;574.5619263321015;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Jefe;Administración de personal;18;107000;1275.479794969603;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Compensaciones y beneficios;2;62000;739.0630587674335;5;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Analista;People Analytics;3;218000;2598.641077601621;4;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;12;73000;870.187149839075;3;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Responsable;Generalista;10;75000;894.0278936702825;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Gerente;Diseño organizacional;4;80000;953.6297532483013;NA;NA;2020
Femenino;Argentina;Nacional;HRBP;Generalista;4;56600;674.6930504231732;4;No estoy buscando cambiar;2020
